node_id,node_type,name,match_id,innings_index,over,ball_in_over
over:CWC_2011_final_ALL:1:19,over,19,CWC_2011_final_ALL,1,19,
ball:CWC_2011_final_ALL:1:19.1,ball,19.1,CWC_2011_final_ALL,1,19,1
ball:CWC_2011_final_ALL:1:19.2,ball,19.2,CWC_2011_final_ALL,1,19,2
ball:CWC_2011_final_ALL:1:19.3,ball,19.3,CWC_2011_final_ALL,1,19,3
ball:CWC_2011_final_ALL:1:19.4,ball,19.4,CWC_2011_final_ALL,1,19,4
ball:CWC_2011_final_ALL:1:19.5,ball,19.5,CWC_2011_final_ALL,1,19,5
ball:CWC_2011_final_ALL:1:19.6,ball,19.6,CWC_2011_final_ALL,1,19,6
over:CWC_2011_final_ALL:1:20,over,20,CWC_2011_final_ALL,1,20,
ball:CWC_2011_final_ALL:1:20.1,ball,20.1,CWC_2011_final_ALL,1,20,1
ball:CWC_2011_final_ALL:1:20.2,ball,20.2,CWC_2011_final_ALL,1,20,2
ball:CWC_2011_final_ALL:1:20.3,ball,20.3,CWC_2011_final_ALL,1,20,3
ball:CWC_2011_final_ALL:1:20.4,ball,20.4,CWC_2011_final_ALL,1,20,4
ball:CWC_2011_final_ALL:1:20.5,ball,20.5,CWC_2011_final_ALL,1,20,5
ball:CWC_2011_final_ALL:1:20.6,ball,20.6,CWC_2011_final_ALL,1,20,6
over:CWC_2011_final_ALL:1:21,over,21,CWC_2011_final_ALL,1,21,
ball:CWC_2011_final_ALL:1:21.1,ball,21.1,CWC_2011_final_ALL,1,21,1
player:Yuvraj,player,Yuvraj,,,,
ball:CWC_2011_final_ALL:1:21.2,ball,21.2,CWC_2011_final_ALL,1,21,2
ball:CWC_2011_final_ALL:1:21.3,ball,21.3,CWC_2011_final_ALL,1,21,3
ball:CWC_2011_final_ALL:1:21.4,ball,21.4,CWC_2011_final_ALL,1,21,4
ball:CWC_2011_final_ALL:1:21.5,ball,21.5,CWC_2011_final_ALL,1,21,5
ball:CWC_2011_final_ALL:1:21.6,ball,21.6,CWC_2011_final_ALL,1,21,6
over:CWC_2011_final_ALL:1:22,over,22,CWC_2011_final_ALL,1,22,
ball:CWC_2011_final_ALL:1:22.1,ball,22.1,CWC_2011_final_ALL,1,22,1
ball:CWC_2011_final_ALL:1:22.2,ball,22.2,CWC_2011_final_ALL,1,22,2
ball:CWC_2011_final_ALL:1:22.3,ball,22.3,CWC_2011_final_ALL,1,22,3
ball:CWC_2011_final_ALL:1:22.4,ball,22.4,CWC_2011_final_ALL,1,22,4
ball:CWC_2011_final_ALL:1:22.5,ball,22.5,CWC_2011_final_ALL,1,22,5
ball:CWC_2011_final_ALL:1:22.6,ball,22.6,CWC_2011_final_ALL,1,22,6
over:CWC_2011_final_ALL:1:23,over,23,CWC_2011_final_ALL,1,23,
ball:CWC_2011_final_ALL:1:23.1,ball,23.1,CWC_2011_final_ALL,1,23,1
ball:CWC_2011_final_ALL:1:23.2,ball,23.2,CWC_2011_final_ALL,1,23,2
ball:CWC_2011_final_ALL:1:23.3,ball,23.3,CWC_2011_final_ALL,1,23,3
ball:CWC_2011_final_ALL:1:23.4,ball,23.4,CWC_2011_final_ALL,1,23,4
ball:CWC_2011_final_ALL:1:23.5,ball,23.5,CWC_2011_final_ALL,1,23,5
ball:CWC_2011_final_ALL:1:23.6,ball,23.6,CWC_2011_final_ALL,1,23,6
over:CWC_2011_final_ALL:1:24,over,24,CWC_2011_final_ALL,1,24,
ball:CWC_2011_final_ALL:1:24.1,ball,24.1,CWC_2011_final_ALL,1,24,1
ball:CWC_2011_final_ALL:1:24.2,ball,24.2,CWC_2011_final_ALL,1,24,2
ball:CWC_2011_final_ALL:1:24.3,ball,24.3,CWC_2011_final_ALL,1,24,3
ball:CWC_2011_final_ALL:1:24.4,ball,24.4,CWC_2011_final_ALL,1,24,4
ball:CWC_2011_final_ALL:1:24.5,ball,24.5,CWC_2011_final_ALL,1,24,5
ball:CWC_2011_final_ALL:1:24.6,ball,24.6,CWC_2011_final_ALL,1,24,6
over:CWC_2011_final_ALL:1:25,over,25,CWC_2011_final_ALL,1,25,
ball:CWC_2011_final_ALL:1:25.1,ball,25.1,CWC_2011_final_ALL,1,25,1
ball:CWC_2011_final_ALL:1:25.2,ball,25.2,CWC_2011_final_ALL,1,25,2
ball:CWC_2011_final_ALL:1:25.3,ball,25.3,CWC_2011_final_ALL,1,25,3
ball:CWC_2011_final_ALL:1:25.4,ball,25.4,CWC_2011_final_ALL,1,25,4
ball:CWC_2011_final_ALL:1:25.5,ball,25.5,CWC_2011_final_ALL,1,25,5
ball:CWC_2011_final_ALL:1:25.6,ball,25.6,CWC_2011_final_ALL,1,25,6
over:CWC_2011_final_ALL:1:26,over,26,CWC_2011_final_ALL,1,26,
ball:CWC_2011_final_ALL:1:26.1,ball,26.1,CWC_2011_final_ALL,1,26,1
ball:CWC_2011_final_ALL:1:26.2,ball,26.2,CWC_2011_final_ALL,1,26,2
ball:CWC_2011_final_ALL:1:26.3,ball,26.3,CWC_2011_final_ALL,1,26,3
ball:CWC_2011_final_ALL:1:26.4,ball,26.4,CWC_2011_final_ALL,1,26,4
ball:CWC_2011_final_ALL:1:26.5,ball,26.5,CWC_2011_final_ALL,1,26,5
ball:CWC_2011_final_ALL:1:26.6,ball,26.6,CWC_2011_final_ALL,1,26,6
over:CWC_2011_final_ALL:1:27,over,27,CWC_2011_final_ALL,1,27,
ball:CWC_2011_final_ALL:1:27.1,ball,27.1,CWC_2011_final_ALL,1,27,1
ball:CWC_2011_final_ALL:1:27.2,ball,27.2,CWC_2011_final_ALL,1,27,2
ball:CWC_2011_final_ALL:1:27.3,ball,27.3,CWC_2011_final_ALL,1,27,3
ball:CWC_2011_final_ALL:1:27.4,ball,27.4,CWC_2011_final_ALL,1,27,4
ball:CWC_2011_final_ALL:1:27.5,ball,27.5,CWC_2011_final_ALL,1,27,5
ball:CWC_2011_final_ALL:1:27.6,ball,27.6,CWC_2011_final_ALL,1,27,6
player:Thilan Samaraweera,player,Thilan Samaraweera,,,,
over:CWC_2011_final_ALL:1:28,over,28,CWC_2011_final_ALL,1,28,
ball:CWC_2011_final_ALL:1:28.1,ball,28.1,CWC_2011_final_ALL,1,28,1
ball:CWC_2011_final_ALL:1:28.2,ball,28.2,CWC_2011_final_ALL,1,28,2
ball:CWC_2011_final_ALL:1:28.3,ball,28.3,CWC_2011_final_ALL,1,28,3
ball:CWC_2011_final_ALL:1:28.4,ball,28.4,CWC_2011_final_ALL,1,28,4
ball:CWC_2011_final_ALL:1:28.5,ball,28.5,CWC_2011_final_ALL,1,28,5
ball:CWC_2011_final_ALL:1:28.6,ball,28.6,CWC_2011_final_ALL,1,28,6
over:CWC_2011_final_ALL:1:29,over,29,CWC_2011_final_ALL,1,29,
ball:CWC_2011_final_ALL:1:29.1,ball,29.1,CWC_2011_final_ALL,1,29,1
ball:CWC_2011_final_ALL:1:29.2,ball,29.2,CWC_2011_final_ALL,1,29,2
ball:CWC_2011_final_ALL:1:29.3,ball,29.3,CWC_2011_final_ALL,1,29,3
ball:CWC_2011_final_ALL:1:29.4,ball,29.4,CWC_2011_final_ALL,1,29,4
ball:CWC_2011_final_ALL:1:29.5,ball,29.5,CWC_2011_final_ALL,1,29,5
ball:CWC_2011_final_ALL:1:29.6,ball,29.6,CWC_2011_final_ALL,1,29,6
over:CWC_2011_final_ALL:1:30,over,30,CWC_2011_final_ALL,1,30,
ball:CWC_2011_final_ALL:1:30.1,ball,30.1,CWC_2011_final_ALL,1,30,1
ball:CWC_2011_final_ALL:1:30.2,ball,30.2,CWC_2011_final_ALL,1,30,2
ball:CWC_2011_final_ALL:1:30.3,ball,30.3,CWC_2011_final_ALL,1,30,3
ball:CWC_2011_final_ALL:1:30.4,ball,30.4,CWC_2011_final_ALL,1,30,4
ball:CWC_2011_final_ALL:1:30.5,ball,30.5,CWC_2011_final_ALL,1,30,5
ball:CWC_2011_final_ALL:1:30.6,ball,30.6,CWC_2011_final_ALL,1,30,6
over:CWC_2011_final_ALL:1:31,over,31,CWC_2011_final_ALL,1,31,
ball:CWC_2011_final_ALL:1:31.1,ball,31.1,CWC_2011_final_ALL,1,31,1
ball:CWC_2011_final_ALL:1:31.2,ball,31.2,CWC_2011_final_ALL,1,31,2
ball:CWC_2011_final_ALL:1:31.3,ball,31.3,CWC_2011_final_ALL,1,31,3
ball:CWC_2011_final_ALL:1:31.4,ball,31.4,CWC_2011_final_ALL,1,31,4
ball:CWC_2011_final_ALL:1:31.5,ball,31.5,CWC_2011_final_ALL,1,31,5
ball:CWC_2011_final_ALL:1:31.6,ball,31.6,CWC_2011_final_ALL,1,31,6
over:CWC_2011_final_ALL:1:32,over,32,CWC_2011_final_ALL,1,32,
ball:CWC_2011_final_ALL:1:32.1,ball,32.1,CWC_2011_final_ALL,1,32,1
player:Tendulkar,player,Tendulkar,,,,
ball:CWC_2011_final_ALL:1:32.2,ball,32.2,CWC_2011_final_ALL,1,32,2
ball:CWC_2011_final_ALL:1:32.3,ball,32.3,CWC_2011_final_ALL,1,32,3
ball:CWC_2011_final_ALL:1:32.4,ball,32.4,CWC_2011_final_ALL,1,32,4
ball:CWC_2011_final_ALL:1:32.5,ball,32.5,CWC_2011_final_ALL,1,32,5
ball:CWC_2011_final_ALL:1:32.6,ball,32.6,CWC_2011_final_ALL,1,32,6
over:CWC_2011_final_ALL:1:33,over,33,CWC_2011_final_ALL,1,33,
ball:CWC_2011_final_ALL:1:33.1,ball,33.1,CWC_2011_final_ALL,1,33,1
ball:CWC_2011_final_ALL:1:33.2,ball,33.2,CWC_2011_final_ALL,1,33,2
ball:CWC_2011_final_ALL:1:33.3,ball,33.3,CWC_2011_final_ALL,1,33,3
ball:CWC_2011_final_ALL:1:33.4,ball,33.4,CWC_2011_final_ALL,1,33,4
ball:CWC_2011_final_ALL:1:33.5,ball,33.5,CWC_2011_final_ALL,1,33,5
ball:CWC_2011_final_ALL:1:33.6,ball,33.6,CWC_2011_final_ALL,1,33,6
over:CWC_2011_final_ALL:1:34,over,34,CWC_2011_final_ALL,1,34,
ball:CWC_2011_final_ALL:1:34.1,ball,34.1,CWC_2011_final_ALL,1,34,1
ball:CWC_2011_final_ALL:1:34.2,ball,34.2,CWC_2011_final_ALL,1,34,2
ball:CWC_2011_final_ALL:1:34.3,ball,34.3,CWC_2011_final_ALL,1,34,3
ball:CWC_2011_final_ALL:1:34.4,ball,34.4,CWC_2011_final_ALL,1,34,4
ball:CWC_2011_final_ALL:1:34.5,ball,34.5,CWC_2011_final_ALL,1,34,5
ball:CWC_2011_final_ALL:1:34.6,ball,34.6,CWC_2011_final_ALL,1,34,6
over:CWC_2011_final_ALL:1:35,over,35,CWC_2011_final_ALL,1,35,
ball:CWC_2011_final_ALL:1:35.1,ball,35.1,CWC_2011_final_ALL,1,35,1
player:Kohli,player,Kohli,,,,
ball:CWC_2011_final_ALL:1:35.2,ball,35.2,CWC_2011_final_ALL,1,35,2
ball:CWC_2011_final_ALL:1:35.3,ball,35.3,CWC_2011_final_ALL,1,35,3
ball:CWC_2011_final_ALL:1:35.4,ball,35.4,CWC_2011_final_ALL,1,35,4
ball:CWC_2011_final_ALL:1:35.5,ball,35.5,CWC_2011_final_ALL,1,35,5
ball:CWC_2011_final_ALL:1:35.6,ball,35.6,CWC_2011_final_ALL,1,35,6
over:CWC_2011_final_ALL:1:36,over,36,CWC_2011_final_ALL,1,36,
ball:CWC_2011_final_ALL:1:36.1,ball,36.1,CWC_2011_final_ALL,1,36,1
ball:CWC_2011_final_ALL:1:36.2,ball,36.2,CWC_2011_final_ALL,1,36,2
ball:CWC_2011_final_ALL:1:36.3,ball,36.3,CWC_2011_final_ALL,1,36,3
ball:CWC_2011_final_ALL:1:36.4,ball,36.4,CWC_2011_final_ALL,1,36,4
ball:CWC_2011_final_ALL:1:36.5,ball,36.5,CWC_2011_final_ALL,1,36,5
