source_id,relation,target_id
ball:CWC_2011_final_ALL:2:8.2,bowler,player:Perera
ball:CWC_2011_final_ALL:2:8.2,event_type,event:dot
ball:CWC_2011_final_ALL:2:8.2,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:8.3,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:8.3,bowler,player:Perera
ball:CWC_2011_final_ALL:2:8.3,event_type,event:run
ball:CWC_2011_final_ALL:2:8.3,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:8.4,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:8.4,bowler,player:Perera
ball:CWC_2011_final_ALL:2:8.4,event_type,event:dot
ball:CWC_2011_final_ALL:2:8.4,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:8.5,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:8.5,bowler,player:Perera
ball:CWC_2011_final_ALL:2:8.5,event_type,event:dot
ball:CWC_2011_final_ALL:2:8.5,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:8.6,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:8.6,bowler,player:Perera
ball:CWC_2011_final_ALL:2:8.6,event_type,event:dot
ball:CWC_2011_final_ALL:2:8.6,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:9.1,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:9.1,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:9.1,event_type,event:dot
ball:CWC_2011_final_ALL:2:9.1,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:9.2,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:9.2,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:9.2,event_type,event:boundary
ball:CWC_2011_final_ALL:2:9.2,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:9.3,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:9.3,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:9.3,event_type,event:run
ball:CWC_2011_final_ALL:2:9.3,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:9.4,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:9.4,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:9.4,event_type,event:dot
ball:CWC_2011_final_ALL:2:9.4,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:9.5,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:9.5,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:9.5,event_type,event:dot
ball:CWC_2011_final_ALL:2:9.5,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:9.6,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:9.6,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:9.6,event_type,event:dot
ball:CWC_2011_final_ALL:2:9.6,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.1,batsman,player:Upul Tharanga
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.1,bowler,player:Khan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.1,event_type,event:dot
